nazev,mira,sleva,stara_cena,nova_cena,platnost
 I Heart Chardonnay bílé víno,75cl,-25%,119.90,89.90,31. 08. 2020
 I Heart Pinot Grigio bílé víno,75cl,-25%,119.90,89.90,31. 08. 2020
 I Heart Sauvignon Blanc bílé víno,75cl,-25%,119.90,89.90,31. 08. 2020
 Vineyards World Wines Chardonnay bílé víno suché,750ml,-28%,69.90,49.90,18. 08. 2020
 Vineyards World Wines Sauvignon Blanc bílé víno polosuché,750ml,-28%,69.90,49.90,18. 08. 2020
 Wairau Cove Chardonnay bílé víno,75cl,-20%,149.90,119.90,31. 08. 2020
 Wairau Cove Sauvignon Blanc víno bílé suché,750ml,-20%,149.90,119.90,31. 08. 2020
 Mona's White bílé víno polosladké,75cl,-29%,84.90,59.90,31. 08. 2020
 Habánské Sklepy Frankovka jakostní víno odrůdové suché červené,0.187l,-25%,39.90,29.90,31. 08. 2020
 Habánské Sklepy Frankovka víno suché červené,0.75l,-38%,104.90,64.90,11. 08. 2020
 Habánské Sklepy Modrý portugal jakostní víno odrůdové suché červené,0.75l,-25%,119.90,89.90,11. 08. 2020
 Habánské Sklepy Rulandské modré jakostní víno odrůdové suché červené,0.75l,-25%,119.90,89.90,11. 08. 2020
 Habánské Sklepy Svatovavřinecké víno suché červené,0.75l,-38%,104.90,64.90,11. 08. 2020
 Habánské Sklepy Zweigeltrebe jakostní víno odrůdové suché červené,0.75l,-14%,104.90,89.90,11. 08. 2020
 Ludwig Cabernet Moravia jakostní víno s přívlastkem pozdní sběr polosladké,0.75l,-25%,199.90,149.90,31. 08. 2020
 Ludwig Culinary Collection Merlot výběr z hroznů víno suché,0.75l,-26%,189.90,139.90,31. 08. 2020
 Ludwig Culinary Collection Rulandské modré výběr z hroznů víno suché,0.75l,-26%,189.90,139.90,31. 08. 2020
 Ludwig Svatovavřinecké moravské zemské víno,0.75l,-30%,99.90,69.90,31. 08. 2020
 Sovín Modrý Portugal moravské zemské víno červené,0.75l,-20%,99.90,79.90,31. 08. 2020
 Sovín Rulandské modré jakostní víno s přívlastkem výběr z hroznů červené suché,0.75l,-13%,149.90,129.90,31. 08. 2020
 Vinné sklepy Milotice Frankovka modrá červené víno suché,0.75l,-44%,89.90,49.90,31. 08. 2020
 Vinné sklepy Milotice Modrý Portugal červené víno suché,0.75l,-44%,89.90,49.90,31. 08. 2020
 Víno Mikulov Frankovka jakostní víno odrůdové suché červené,0.75l,-30%,99.90,69.90,31. 08. 2020
 Víno Mikulov Svatý Urban červené víno polosladké,0.75l,-28%,69.90,49.90,31. 08. 2020
 Víno Mikulov Zweigeltrebe jakostní víno odrůdové suché červené,0.75l,-30%,99.90,69.90,31. 08. 2020
 Víno Motýl Cabernet Sauvignon suché červené víno,0.75l,-30%,99.90,69.90,31. 08. 2020
 Víno Motýl Merlot suché červené víno,0.75l,-30%,99.90,69.90,31. 08. 2020
 Víno Motýl Modrý Portugal suché červené víno,0.75l,-30%,99.90,69.90,31. 08. 2020
 Víno Motýl Svatovavřinecké suché červené víno,0.75l,-30%,99.90,69.90,31. 08. 2020
 Víno Motýl Zweigeltrebe suché červené víno,0.75l,-30%,99.90,69.90,31. 08. 2020
 Zámecké Vinařství Bzenec Herbarium Moravicum Frankovka pozdní sběr suché červené víno,0.75l,-25%,159.90,119.90,31. 08. 2020
 Znovín Znojmo Modrý Portugal odrůdové červené víno jakostní suché,0.75l,-17%,144.90,119.90,31. 08. 2020
 Znovín Znojmo Zweigeltrebe odrůdové červené víno jakostní suché,0.75l,-17%,144.90,119.90,31. 08. 2020
 Anakena Cabernet Sauvignon červené víno polosuché,750ml,-30%,129.90,89.90,31. 08. 2020
 Anakena Merlot červené víno polosuché,750ml,-30%,129.90,89.90,31. 08. 2020
 Viña Tarapacá Cabernet Sauvignon červené víno,0.75l,-45%,199.90,109.90,31. 08. 2020
 Viña Tarapacá Carmenère červené víno,0.75l,-45%,199.90,109.90,31. 08. 2020
 Viña Tarapacá Merlot červené víno,0.75l,-45%,199.90,109.90,31. 08. 2020
 Viña Tarapacá Syrah červené víno,0.75l,-45%,199.90,109.90,31. 08. 2020
